Source,Target,ID,Label,Interval,Weight,Type
0,357,0,,,1,Directed
0,656,1,,,1,Directed
0,3889,2,,,1,Directed
1,2821,3,,,1,Directed
2,1229,4,,,1,Directed
3,3950,5,,,1,Directed
4,3942,6,,,1,Directed
5,1776,7,,,1,Directed
6,1486,8,,,1,Directed
6,2051,9,,,1,Directed
6,1495,10,,,1,Directed
6,312,11,,,1,Directed
6,2321,12,,,1,Directed
6,1161,13,,,1,Directed
6,3149,14,,,1,Directed
6,3966,15,,,1,Directed
6,808,16,,,1,Directed
6,546,17,,,1,Directed
6,225,18,,,1,Directed
6,936,19,,,1,Directed
6,2526,20,,,1,Directed
6,1181,21,,,1,Directed
6,848,22,,,1,Directed
7,3285,23,,,1,Directed
8,3645,24,,,1,Directed
8,1179,25,,,1,Directed
9,242,26,,,1,Directed
10,3802,27,,,1,Directed
11,3989,28,,,1,Directed
12,3726,29,,,1,Directed
13,1780,30,,,1,Directed
14,593,31,,,1,Directed
15,3038,32,,,1,Directed
16,1400,33,,,1,Directed
17,1940,34,,,1,Directed
18,3729,35,,,1,Directed
19,3407,36,,,1,Directed
20,3244,37,,,1,Directed
21,1600,38,,,1,Directed
22,1855,39,,,1,Directed
22,3062,40,,,1,Directed
22,3726,41,,,1,Directed
23,623,42,,,1,Directed
24,3719,43,,,1,Directed
25,2811,44,,,1,Directed
26,2678,45,,,1,Directed
27,1552,46,,,1,Directed
28,2043,47,,,1,Directed
28,338,48,,,1,Directed
28,3926,49,,,1,Directed
28,3407,50,,,1,Directed
28,1251,51,,,1,Directed
28,1365,52,,,1,Directed
28,99,53,,,1,Directed
28,1182,54,,,1,Directed
28,2040,55,,,1,Directed
28,1290,56,,,1,Directed
28,2473,57,,,1,Directed
28,301,58,,,1,Directed
28,1780,59,,,1,Directed
28,1409,60,,,1,Directed
28,3908,61,,,1,Directed
28,3646,62,,,1,Directed
28,3942,63,,,1,Directed
28,1569,64,,,1,Directed
28,3006,65,,,1,Directed
28,3678,66,,,1,Directed
28,2968,67,,,1,Directed
28,2739,68,,,1,Directed
28,75,69,,,1,Directed
28,556,70,,,1,Directed
28,3160,71,,,1,Directed
28,2305,72,,,1,Directed
28,2791,73,,,1,Directed
28,2086,74,,,1,Directed
28,3022,75,,,1,Directed
28,2830,76,,,1,Directed
28,2403,77,,,1,Directed
28,2364,78,,,1,Directed
28,140,79,,,1,Directed
28,2700,80,,,1,Directed
28,2850,81,,,1,Directed
28,1711,82,,,1,Directed
28,3726,83,,,1,Directed
28,2512,84,,,1,Directed
28,160,85,,,1,Directed
28,2167,86,,,1,Directed
28,2407,87,,,1,Directed
28,3097,88,,,1,Directed
28,2158,89,,,1,Directed
28,3567,90,,,1,Directed
28,3934,91,,,1,Directed
28,1254,92,,,1,Directed
29,1355,93,,,1,Directed
30,2789,94,,,1,Directed
31,3501,95,,,1,Directed
32,3803,96,,,1,Directed
33,3006,97,,,1,Directed
33,1479,98,,,1,Directed
34,2646,99,,,1,Directed
35,1641,100,,,1,Directed
35,1715,101,,,1,Directed
35,3673,102,,,1,Directed
35,115,103,,,1,Directed
35,2408,104,,,1,Directed
36,1593,105,,,1,Directed
36,2305,106,,,1,Directed
37,660,107,,,1,Directed
38,1605,108,,,1,Directed
38,330,109,,,1,Directed
39,3942,110,,,1,Directed
40,2593,111,,,1,Directed
41,2378,112,,,1,Directed
42,1862,113,,,1,Directed
43,2335,114,,,1,Directed
44,855,115,,,1,Directed
44,1265,116,,,1,Directed
45,3867,117,,,1,Directed
46,645,118,,,1,Directed
47,1970,119,,,1,Directed
47,3366,120,,,1,Directed
47,3531,121,,,1,Directed
47,2901,122,,,1,Directed
47,3135,123,,,1,Directed
47,2286,124,,,1,Directed
47,1504,125,,,1,Directed
47,1699,126,,,1,Directed
48,2129,127,,,1,Directed
49,1710,128,,,1,Directed
50,375,129,,,1,Directed
51,342,130,,,1,Directed
51,1566,131,,,1,Directed
52,211,132,,,1,Directed
52,315,133,,,1,Directed
53,1937,134,,,1,Directed
54,2205,135,,,1,Directed
55,215,136,,,1,Directed
56,2220,137,,,1,Directed
57,132,138,,,1,Directed
58,3022,139,,,1,Directed
59,1046,140,,,1,Directed
60,1726,141,,,1,Directed
60,2948,142,,,1,Directed
60,962,143,,,1,Directed
61,1345,144,,,1,Directed
61,3263,145,,,1,Directed
62,1564,146,,,1,Directed
63,1312,147,,,1,Directed
63,2978,148,,,1,Directed
64,1445,149,,,1,Directed
64,2475,150,,,1,Directed
64,3407,151,,,1,Directed
64,2182,152,,,1,Directed
64,3315,153,,,1,Directed
65,3874,154,,,1,Directed
66,516,155,,,1,Directed
67,3699,156,,,1,Directed
68,3077,157,,,1,Directed
69,2021,158,,,1,Directed
70,2792,159,,,1,Directed
70,673,160,,,1,Directed
71,2452,161,,,1,Directed
72,626,162,,,1,Directed
73,1170,163,,,1,Directed
74,229,164,,,1,Directed
75,2191,165,,,1,Directed
75,1231,166,,,1,Directed
75,2826,167,,,1,Directed
75,3097,168,,,1,Directed
75,1028,169,,,1,Directed
75,1917,170,,,1,Directed
75,3867,171,,,1,Directed
75,559,172,,,1,Directed
75,1780,173,,,1,Directed
76,3689,174,,,1,Directed
77,3062,175,,,1,Directed
78,1477,176,,,1,Directed
78,3293,177,,,1,Directed
79,1770,178,,,1,Directed
80,435,179,,,1,Directed
81,2188,180,,,1,Directed
81,3611,181,,,1,Directed
81,115,182,,,1,Directed
81,848,183,,,1,Directed
81,854,184,,,1,Directed
81,3744,185,,,1,Directed
81,2885,186,,,1,Directed
81,560,187,,,1,Directed
82,3244,188,,,1,Directed
83,3544,189,,,1,Directed
84,3030,190,,,1,Directed
85,3453,191,,,1,Directed
85,137,192,,,1,Directed
86,1140,193,,,1,Directed
87,1134,194,,,1,Directed
88,2678,195,,,1,Directed
88,1588,196,,,1,Directed
88,3975,197,,,1,Directed
88,1572,198,,,1,Directed
88,1780,199,,,1,Directed
88,2620,200,,,1,Directed
88,689,201,,,1,Directed
88,212,202,,,1,Directed
88,3670,203,,,1,Directed
88,477,204,,,1,Directed
89,3525,205,,,1,Directed
90,1706,206,,,1,Directed
91,1186,207,,,1,Directed
91,3867,208,,,1,Directed
91,579,209,,,1,Directed
92,225,210,,,1,Directed
93,1937,211,,,1,Directed
94,2696,212,,,1,Directed
95,3407,213,,,1,Directed
95,2519,214,,,1,Directed
96,435,215,,,1,Directed
97,2611,216,,,1,Directed
98,3006,217,,,1,Directed
100,3956,218,,,1,Directed
101,3608,219,,,1,Directed
102,3597,220,,,1,Directed
103,845,221,,,1,Directed
104,684,222,,,1,Directed
105,3709,223,,,1,Directed
106,2345,224,,,1,Directed
106,3661,225,,,1,Directed
107,1409,226,,,1,Directed
108,896,227,,,1,Directed
109,3671,228,,,1,Directed
110,3406,229,,,1,Directed
111,2048,230,,,1,Directed
112,1198,231,,,1,Directed
113,1306,232,,,1,Directed
114,450,233,,,1,Directed
115,202,234,,,1,Directed
116,3288,235,,,1,Directed
116,768,236,,,1,Directed
116,3942,237,,,1,Directed
116,2878,238,,,1,Directed
117,2693,239,,,1,Directed
117,163,240,,,1,Directed
117,2176,241,,,1,Directed
118,872,242,,,1,Directed
118,1306,243,,,1,Directed
118,3097,244,,,1,Directed
119,2071,245,,,1,Directed
120,695,246,,,1,Directed
121,2667,247,,,1,Directed
122,784,248,,,1,Directed
123,2445,249,,,1,Directed
124,724,250,,,1,Directed
125,3726,251,,,1,Directed
126,3726,252,,,1,Directed
126,3682,253,,,1,Directed
127,1365,254,,,1,Directed
128,1812,255,,,1,Directed
128,1489,256,,,1,Directed
129,2867,257,,,1,Directed
130,1937,258,,,1,Directed
131,1120,259,,,1,Directed
132,2727,260,,,1,Directed
132,1006,261,,,1,Directed
133,2089,262,,,1,Directed
134,3327,263,,,1,Directed
135,1365,264,,,1,Directed
135,3900,265,,,1,Directed
136,2318,266,,,1,Directed
136,654,267,,,1,Directed
136,3761,268,,,1,Directed
137,3661,269,,,1,Directed
138,1751,270,,,1,Directed
139,1649,271,,,1,Directed
140,3418,272,,,1,Directed
140,2326,273,,,1,Directed
140,3006,274,,,1,Directed
140,1890,275,,,1,Directed
140,635,276,,,1,Directed
140,2680,277,,,1,Directed
140,531,278,,,1,Directed
140,3263,279,,,1,Directed
141,3507,280,,,1,Directed
142,698,281,,,1,Directed
143,3203,282,,,1,Directed
143,1206,283,,,1,Directed
143,435,284,,,1,Directed
144,167,285,,,1,Directed
145,3942,286,,,1,Directed
145,1518,287,,,1,Directed
145,1469,288,,,1,Directed
145,1439,289,,,1,Directed
146,3322,290,,,1,Directed
146,3726,291,,,1,Directed
147,2720,292,,,1,Directed
148,1844,293,,,1,Directed
149,1115,294,,,1,Directed
150,2172,295,,,1,Directed
151,3450,296,,,1,Directed
152,3995,297,,,1,Directed
153,1937,298,,,1,Directed
154,1479,299,,,1,Directed
155,2792,300,,,1,Directed
156,656,301,,,1,Directed
157,970,302,,,1,Directed
158,3243,303,,,1,Directed
159,3302,304,,,1,Directed
160,2215,305,,,1,Directed
160,3620,306,,,1,Directed
160,1378,307,,,1,Directed
160,2703,308,,,1,Directed
160,1937,309,,,1,Directed
160,455,310,,,1,Directed
160,1914,311,,,1,Directed
160,1281,312,,,1,Directed
160,544,313,,,1,Directed
161,3263,314,,,1,Directed
161,1887,315,,,1,Directed
162,2293,316,,,1,Directed
163,3735,317,,,1,Directed
164,1626,318,,,1,Directed
165,848,319,,,1,Directed
166,3529,320,,,1,Directed
168,1701,321,,,1,Directed
169,3942,322,,,1,Directed
170,2894,323,,,1,Directed
171,759,324,,,1,Directed
172,3613,325,,,1,Directed
173,2333,326,,,1,Directed
174,3909,327,,,1,Directed
175,1797,328,,,1,Directed
176,3340,329,,,1,Directed
176,2305,330,,,1,Directed
176,3220,331,,,1,Directed
176,425,332,,,1,Directed
176,242,333,,,1,Directed
176,2487,334,,,1,Directed
176,1400,335,,,1,Directed
176,3424,336,,,1,Directed
176,3573,337,,,1,Directed
176,2789,338,,,1,Directed
176,3092,339,,,1,Directed
176,2229,340,,,1,Directed
176,405,341,,,1,Directed
176,2772,342,,,1,Directed
176,3382,343,,,1,Directed
176,720,344,,,1,Directed
177,289,345,,,1,Directed
178,2792,346,,,1,Directed
178,417,347,,,1,Directed
178,3396,348,,,1,Directed
178,655,349,,,1,Directed
179,1988,350,,,1,Directed
180,2893,351,,,1,Directed
181,737,352,,,1,Directed
182,3867,353,,,1,Directed
182,671,354,,,1,Directed
183,3372,355,,,1,Directed
184,748,356,,,1,Directed
184,1365,357,,,1,Directed
184,2855,358,,,1,Directed
184,3159,359,,,1,Directed
184,2294,360,,,1,Directed
184,3588,361,,,1,Directed
184,2451,362,,,1,Directed
184,1610,363,,,1,Directed
185,3249,364,,,1,Directed
186,3755,365,,,1,Directed
187,429,366,,,1,Directed
188,552,367,,,1,Directed
189,3498,368,,,1,Directed
190,2903,369,,,1,Directed
191,3607,370,,,1,Directed
192,2180,371,,,1,Directed
193,3389,372,,,1,Directed
193,3710,373,,,1,Directed
193,1231,374,,,1,Directed
193,1770,375,,,1,Directed
194,3451,376,,,1,Directed
194,1941,377,,,1,Directed
195,2956,378,,,1,Directed
196,3555,379,,,1,Directed
197,1291,380,,,1,Directed
198,3924,381,,,1,Directed
199,1921,382,,,1,Directed
200,3554,383,,,1,Directed
201,1850,384,,,1,Directed
203,2074,385,,,1,Directed
203,3867,386,,,1,Directed
203,3615,387,,,1,Directed
203,1792,388,,,1,Directed
203,765,389,,,1,Directed
203,1961,390,,,1,Directed
203,2549,391,,,1,Directed
203,428,392,,,1,Directed
203,1127,393,,,1,Directed
204,2138,394,,,1,Directed
205,1550,395,,,1,Directed
206,1079,396,,,1,Directed
207,3079,397,,,1,Directed
208,2954,398,,,1,Directed
209,3850,399,,,1,Directed
210,3741,400,,,1,Directed
211,2640,401,,,1,Directed
212,3013,402,,,1,Directed
212,2018,403,,,1,Directed
212,3183,404,,,1,Directed
213,3767,405,,,1,Directed
214,1573,406,,,1,Directed
214,3149,407,,,1,Directed
214,1262,408,,,1,Directed
216,3867,409,,,1,Directed
217,2617,410,,,1,Directed
218,1112,411,,,1,Directed
219,3994,412,,,1,Directed
220,3558,413,,,1,Directed
221,722,414,,,1,Directed
222,3942,415,,,1,Directed
222,3065,416,,,1,Directed
223,917,417,,,1,Directed
224,690,418,,,1,Directed
225,1937,419,,,1,Directed
225,2837,420,,,1,Directed
225,3265,421,,,1,Directed
225,3957,422,,,1,Directed
225,1134,423,,,1,Directed
225,741,424,,,1,Directed
225,869,425,,,1,Directed
225,2106,426,,,1,Directed
225,510,427,,,1,Directed
225,508,428,,,1,Directed
225,2348,429,,,1,Directed
225,1100,430,,,1,Directed
225,3579,431,,,1,Directed
225,1995,432,,,1,Directed
225,1365,433,,,1,Directed
225,1320,434,,,1,Directed
225,239,435,,,1,Directed
225,301,436,,,1,Directed
225,481,437,,,1,Directed
225,1425,438,,,1,Directed
225,2609,439,,,1,Directed
225,1452,440,,,1,Directed
225,1176,441,,,1,Directed
225,1146,442,,,1,Directed
225,3910,443,,,1,Directed
225,1651,444,,,1,Directed
225,2444,445,,,1,Directed
225,3134,446,,,1,Directed
225,1264,447,,,1,Directed
225,3661,448,,,1,Directed
226,3219,449,,,1,Directed
226,290,450,,,1,Directed
227,1754,451,,,1,Directed
228,2554,452,,,1,Directed
229,3803,453,,,1,Directed
229,3153,454,,,1,Directed
229,3623,455,,,1,Directed
229,1588,456,,,1,Directed
229,435,457,,,1,Directed
229,3661,458,,,1,Directed
229,644,459,,,1,Directed
229,1766,460,,,1,Directed
229,2935,461,,,1,Directed
229,2930,462,,,1,Directed
229,641,463,,,1,Directed
229,814,464,,,1,Directed
229,3654,465,,,1,Directed
229,3613,466,,,1,Directed
229,794,467,,,1,Directed
229,767,468,,,1,Directed
230,1939,469,,,1,Directed
231,3484,470,,,1,Directed
232,2343,471,,,1,Directed
233,2816,472,,,1,Directed
234,2879,473,,,1,Directed
234,1984,474,,,1,Directed
234,753,475,,,1,Directed
234,2571,476,,,1,Directed
234,3408,477,,,1,Directed
234,1339,478,,,1,Directed
234,255,479,,,1,Directed
234,2789,480,,,1,Directed
234,2921,481,,,1,Directed
234,1024,482,,,1,Directed
234,1792,483,,,1,Directed
234,1231,484,,,1,Directed
234,2336,485,,,1,Directed
234,581,486,,,1,Directed
235,2061,487,,,1,Directed
235,862,488,,,1,Directed
236,3448,489,,,1,Directed
237,1096,490,,,1,Directed
238,3661,491,,,1,Directed
238,1144,492,,,1,Directed
238,3263,493,,,1,Directed
240,3801,494,,,1,Directed
240,2280,495,,,1,Directed
240,469,496,,,1,Directed
241,1192,497,,,1,Directed
241,1409,498,,,1,Directed
242,1689,499,,,1,Directed
242,3726,500,,,1,Directed
242,3344,501,,,1,Directed
242,2922,502,,,1,Directed
242,3542,503,,,1,Directed
242,3712,504,,,1,Directed
242,3428,505,,,1,Directed
242,1937,506,,,1,Directed
242,1851,507,,,1,Directed
243,1473,508,,,1,Directed
244,342,509,,,1,Directed
245,2561,510,,,1,Directed
245,2305,511,,,1,Directed
246,3777,512,,,1,Directed
246,1558,513,,,1,Directed
246,371,514,,,1,Directed
246,3400,515,,,1,Directed
246,2789,516,,,1,Directed
247,3960,517,,,1,Directed
248,3042,518,,,1,Directed
249,1635,519,,,1,Directed
250,2486,520,,,1,Directed
251,898,521,,,1,Directed
251,483,522,,,1,Directed
251,2523,523,,,1,Directed
252,301,524,,,1,Directed
252,3780,525,,,1,Directed
252,2139,526,,,1,Directed
252,405,527,,,1,Directed
253,504,528,,,1,Directed
254,2191,529,,,1,Directed
254,288,530,,,1,Directed
254,3129,531,,,1,Directed
256,2149,532,,,1,Directed
257,3236,533,,,1,Directed
258,1937,534,,,1,Directed
259,3111,535,,,1,Directed
260,2651,536,,,1,Directed
261,2624,537,,,1,Directed
262,1029,538,,,1,Directed
263,1930,539,,,1,Directed
264,773,540,,,1,Directed
264,2617,541,,,1,Directed
265,1520,542,,,1,Directed
266,2931,543,,,1,Directed
266,2167,544,,,1,Directed
266,2262,545,,,1,Directed
266,3363,546,,,1,Directed
266,2883,547,,,1,Directed
267,3022,548,,,1,Directed
268,2912,549,,,1,Directed
269,1409,550,,,1,Directed
270,3006,551,,,1,Directed
271,2767,552,,,1,Directed
272,1840,553,,,1,Directed
