ID,Label,Degree
0,Node1,3
1,Node2,1
2,Node3,1
3,Node4,1
4,Node5,1
5,Node6,1
6,Node7,15
7,Node8,1
8,Node9,2
9,Node10,1
10,Node11,1
11,Node12,1
12,Node13,1
13,Node14,1
14,Node15,1
15,Node16,1
16,Node17,1
17,Node18,1
18,Node19,1
19,Node20,1
20,Node21,1
21,Node22,1
22,Node23,3
23,Node24,1
24,Node25,1
25,Node26,1
26,Node27,1
27,Node28,1
28,Node29,46
29,Node30,1
30,Node31,1
31,Node32,1
32,Node33,1
33,Node34,2
34,Node35,1
35,Node36,5
36,Node37,2
37,Node38,1
38,Node39,2
39,Node40,1
40,Node41,1
41,Node42,1
42,Node43,1
43,Node44,1
44,Node45,2
45,Node46,1
46,Node47,1
47,Node48,8
48,Node49,1
49,Node50,1
50,Node51,1
51,Node52,2
52,Node53,2
53,Node54,1
54,Node55,1
55,Node56,1
56,Node57,1
57,Node58,1
58,Node59,1
59,Node60,1
60,Node61,3
61,Node62,2
62,Node63,1
63,Node64,2
64,Node65,5
65,Node66,1
66,Node67,1
67,Node68,1
68,Node69,1
69,Node70,1
70,Node71,2
71,Node72,1
72,Node73,1
73,Node74,1
74,Node75,1
75,Node76,10
76,Node77,1
77,Node78,1
78,Node79,2
79,Node80,1
80,Node81,1
81,Node82,8
82,Node83,1
83,Node84,1
84,Node85,1
85,Node86,2
86,Node87,1
87,Node88,1
88,Node89,10
89,Node90,1
90,Node91,1
91,Node92,3
92,Node93,1
93,Node94,1
94,Node95,1
95,Node96,2
96,Node97,1
97,Node98,1
98,Node99,1
99,Node100,1
100,Node101,1
101,Node102,1
102,Node103,1
103,Node104,1
104,Node105,1
105,Node106,1
106,Node107,2
107,Node108,1
108,Node109,1
109,Node110,1
110,Node111,1
111,Node112,1
112,Node113,1
113,Node114,1
114,Node115,1
115,Node116,3
116,Node117,4
117,Node118,3
118,Node119,3
119,Node120,1
120,Node121,1
121,Node122,1
122,Node123,1
123,Node124,1
124,Node125,1
125,Node126,1
126,Node127,2
127,Node128,1
128,Node129,2
129,Node130,1
130,Node131,1
131,Node132,1
132,Node133,3
133,Node134,1
134,Node135,1
135,Node136,2
136,Node137,3
137,Node138,2
138,Node139,1
139,Node140,1
140,Node141,9
141,Node142,1
142,Node143,1
143,Node144,3
144,Node145,1
145,Node146,4
146,Node147,2
147,Node148,1
148,Node149,1
149,Node150,1
150,Node151,1
151,Node152,1
152,Node153,1
153,Node154,1
154,Node155,1
155,Node156,1
156,Node157,1
157,Node158,1
158,Node159,1
159,Node160,1
160,Node161,10
161,Node162,2
162,Node163,1
163,Node164,2
164,Node165,1
165,Node166,1
166,Node167,1
167,Node168,1
168,Node169,1
169,Node170,1
170,Node171,1
171,Node172,1
172,Node173,1
173,Node174,1
174,Node175,1
175,Node176,1
176,Node177,16
177,Node178,1
178,Node179,4
179,Node180,1
180,Node181,1
181,Node182,1
182,Node183,2
183,Node184,1
184,Node185,8
185,Node186,1
186,Node187,1
